kind;sort;prefvar;prefvarsort
namen;Phenomenon;naam;Variable
huisnummers;Phenomenon;huisnummer;Variable
geslachten;Phenomenon;geslacht;Variable
gemeentenamen;Phenomenon;gemeentenaam;Variable
straatnamen;Phenomenon;straatnaam;Variable
beroepen;Phenomenon;functie;Variable
activiteiten;Phenomenon;economische hoofdactiviteit;Variable
maanden;Phenomenon;maand;Variable
dagen;Phenomenon;dag;Variable
SCM code level 0;Level;soort level 0;Variable
SCM code level 1;Level;soort level 1;Variable
SCM code level 2;Level;soort level 2;Variable
SCM code level 3;Level;soort level 3;Variable
